NONE	0	RDC 220B / 3S0BTE0M0000GD (3STAR)						model rdc220b != rdc215c	0	[]
NONE	0	RDC 220V / 5W0FWE0M000UGD (5STAR)						no discriminating evidence	0	[]
NONE	0	VOLTAS WATER HEATER AQUAPRO 255 VPBSIX						no discriminating evidence	0	[]
NONE	0	WTT 70UHA / BRSSWH5POD						no discriminating evidence	0	[]
NONE	0	VOLTAS AIR COOLER VIRAT 85						no discriminating evidence	0	[]
MATCH	48.0	Voltas SAC 243INV Vectra Elegant	Voltas Split Air Conditioner, 2 Ton, 3 Star - 243INV Vectra Elegant	MRP 74990 / 47500	4504077	1200x1200	voltas-split-air-conditioner-2-ton-3-star-243inv-vectra-elegant	family=243inv, name=vectra+elegant	18.0	[{"handle":"voltas-split-air-conditioner-2-ton-3-star-243inv-vectra-elegant","title":"Voltas Split Air Conditioner, 2 Ton, 3 Star - 243INV Vectra Elegant","score":48,"reasons":["family=243inv","name=vectra+elegant"]},{"handle":"voltas-split-air-conditioner-1-ton-3-star-123inv-vectra-elegant","title":"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Elegant","score":30,"reasons":["name=vectra+elegant"]},{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vectra-elegant","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vectra Elegant","score":30,"reasons":["name=vectra+elegant"]}]
NONE	0	RFF295D / 1W0V100RXID						no discriminating evidence	0	[]
NONE	0	RDC 220A / 4W0RFE0M0000GD (4STAR)						model rdc220a != rdc215b	0	[]
MATCH	99.0	Voltas Air Cooler JetMax 90	Voltas Desert Air Cooler JetMax 90	MRP 18990 / 12790	4810349	1200x1200	voltas-desert-air-cooler-jetmax-90	model=jetmax90, name=jetmax	98.0	[{"handle":"voltas-desert-air-cooler-jetmax-90","title":"Voltas Desert Air Cooler JetMax 90","score":99,"reasons":["model=jetmax90","name=jetmax"]},{"handle":"4810229-voltas-air-cooler-mega-70","title":"Desert Air Cooler Mega 70","score":1,"reasons":[]},{"handle":"4810216-voltas-air-cooler-alfa-28","title":"Personal Air Cooler Alfa 28","score":1,"reasons":[]}]
MATCH	56.0	Voltas 1.0T SAC 123INV Vectra Elegant	Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Elegant	MRP 53990 / 33000	4504052	1200x1200	voltas-split-air-conditioner-1-ton-3-star-123inv-vectra-elegant	capacity-ton=1, family=123inv, name=vectra+elegant	20.0	[{"handle":"voltas-split-air-conditioner-1-ton-3-star-123inv-vectra-elegant","title":"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Elegant","score":56,"reasons":["capacity-ton=1","family=123inv","name=vectra+elegant"]},{"handle":"voltas-split-air-conditioner-1-ton-3-star-123inv-vectra-emerald","title":"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Emerald","score":36,"reasons":["capacity-ton=1","family=123inv","name=vectra"]},{"handle":"voltas-sac-123inv-vertis-ai-zest-gold","title":"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vertis AI Zest Gold","score":16,"reasons":["capacity-ton=1","family=123inv"]}]
NONE	0	PLASTIC SUMBERSIBLE PUMP (C) 18%						type unsupported != washing-machine	0	[]
NONE	0	VOLTAS CVF 501 DA5-W-GW						no discriminating evidence	0	[]
WEAK	30.0	VOLTAS WATER HEATER AQUA PRIME 254VPBSI	Voltas Aqua Prime 4 Star Water Heater - 10L (2000 W)	MRP 11790 / 5990	4610034	1500x1500	voltas-aqua-prime-4-star-water-heater-10l-2000-w	name=aqua+prime	0.0	[{"handle":"voltas-aqua-prime-4-star-water-heater-10l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 10L (2000 W)","score":30,"reasons":["name=aqua+prime"]},{"handle":"voltas-aqua-prime-4-star-water-heater-15l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 15L (2000 W)","score":30,"reasons":["name=aqua+prime"]},{"handle":"voltas-aqua-prime-4-star-water-heater-25l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 25L (2000 W)","score":30,"reasons":["name=aqua+prime"]}]
MATCH	56.0	Voltas 1.0T SAC 123 INV Vectra Emerald	Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Emerald	MRP 53990 / 33000	4504051	1200x1200	voltas-split-air-conditioner-1-ton-3-star-123inv-vectra-emerald	capacity-ton=1, family=123inv, name=vectra+emerald	20.0	[{"handle":"voltas-split-air-conditioner-1-ton-3-star-123inv-vectra-emerald","title":"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Emerald","score":56,"reasons":["capacity-ton=1","family=123inv","name=vectra+emerald"]},{"handle":"voltas-split-air-conditioner-1-ton-3-star-123inv-vectra-elegant","title":"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Elegant","score":36,"reasons":["capacity-ton=1","family=123inv","name=vectra"]},{"handle":"voltas-split-air-conditioner-1-ton-2-star-122fs-emerald","title":"Voltas Split Air Conditioner, 1 Ton, 2 Star - 122FS Emerald","score":18,"reasons":["capacity-ton=1","name=emerald"]}]
MATCH	90.0	Voltas Stablizer VA 5130-130V-300V	Stabilizer VA5130 - 130V-300V - 5 KVA	MRP 6290 / 4594	9015132	1200x1200	stabilizer-va5130-130v-300v-5-kva	model=va5130	90.0	[{"handle":"stabilizer-va5130-130v-300v-5-kva","title":"Stabilizer VA5130 - 130V-300V - 5 KVA","score":90,"reasons":["model=va5130"]},{"handle":"protection-plan-1-year-for-split-air-conditioner","title":"Protection Plan 1 Year - For Split Inverter Air Conditioner","score":0,"reasons":[]},{"handle":"protection-plan-1-year-for-window-air-conditioner","title":"Protection Plan 1 Year - For Window Non-Inverter Air Conditioner","score":0,"reasons":[]}]
